?? [s],A 1.dY [mm],A 2.dY [mm],B2.dY [mm],B 1.dY [mm],C2.dY [mm],C 1.dY [mm]
633.500026,6.076417,6.070529,5.721163,5.741401,5.555979,5.571002
634.000026,6.087566,6.081566,5.724269,5.744292,5.549097,5.563772
634.500026,7.008681,7.001031,4.359825,4.372710,5.545494,5.559968
635.000026,7.954762,7.948536,3.002519,3.009267,,
635.500026,8.904907,8.900346,1.640396,1.640791,1.677707,1.680053
636.000026,8.958023,8.956992,1.646218,1.647108,1.676706,1.679036
636.500026,8.992399,8.991570,1.641596,1.642731,1.672031,1.674281
637.000026,9.026751,9.026259,1.639367,1.640378,1.669236,1.671406
637.500026,9.053799,9.053426,1.633543,1.635630,1.664046,1.666279
638.000026,9.078088,9.077954,1.627690,1.629799,1.658292,1.660561
638.500026,9.097910,9.097638,1.621480,1.623299,1.651852,1.654248
639.000026,9.110061,9.109719,1.616700,1.617806,1.646450,1.649014
639.500026,9.115710,9.115400,1.613806,1.614749,1.643410,1.645961
640.000026,9.117393,9.116983,1.612662,1.613536,1.642138,1.644712
640.500026,9.118463,9.118089,1.612138,1.613062,1.641851,1.644083
641.000026,9.119927,9.119455,1.612382,1.613161,1.642229,1.644377
641.500026,9.121209,9.120849,1.613109,1.613942,1.643093,1.645271
642.000026,9.121726,9.121317,1.613451,1.614401,1.643380,1.645678
642.500026,9.120387,9.120043,1.612727,1.613630,1.642356,1.644766
643.000026,9.118489,9.118001,1.610997,1.612194,1.640950,1.643247
643.500026,9.117186,9.116688,1.610269,1.611283,1.640338,1.642573
644.000026,9.118625,9.118099,1.612423,1.613445,1.642611,1.644862
644.500026,9.118602,9.118227,1.613775,1.614690,1.643950,1.646223
645.000026,9.116400,9.116130,1.613121,1.614440,1.643428,1.645763
645.500026,9.113564,9.113333,1.611055,1.612565,1.641529,1.643834
646.000026,,,,,,
646.500026,,,,,,
647.000026,,,,,,
647.500026,,,,,,
648.000026,,,,,,
648.500026,,,,,,
649.000026,,,,,,
649.500026,,,,,,
650.000026,,,,,,
650.500026,,,,,,
651.000026,,,,,,
651.500026,,,,,,
652.000026,,,,,,
652.500026,,,,,,
653.000026,,,,,,
653.500026,,,,,,
654.000026,,,,,,
654.500026,,,,,,
655.000026,,,,,,
655.500026,,,,,,
656.000026,,,,,,
656.500026,,,,,,
657.000026,,,,,,
657.500026,,,,,,
658.000026,,,,,,
658.500026,,,,,,
659.000026,,,,,,
659.500026,,,,,,
660.000026,,,,,,
660.500026,,,,,,
661.000026,,,,,,
661.500026,,,,,,
662.000026,,,,,,
662.500026,,,,,,
663.000026,,,,,,
663.500026,,,,,,
664.000026,,,,,,
664.500026,,,,,,
665.000026,,,,,,
665.500026,,,,,,
666.000026,,,,,,
666.500026,,,,,,
667.000026,,,,,,
667.500026,,,,,,
668.000026,,,,,,
668.500026,,,,,,
669.000026,,,,,,
